Season,Name,Team,Age,G,GS,ADJ_GS,IP,ADJ_IP,Pitches,W,L,SV,BS,ER,ADJ_ER,ERA,WHIP,AVG,SO,ADJ_SO,K/9,BB,ADJ_BB,BB/9,HR,HR/9
2014,Mark Melancon,PIT,29,72,0,0,71,71,975,3,5,33,4,15,15,1.9,0.87,0.194,71,71,9,11,11,1.39,2,0.25
2015,Mark Melancon,PIT,30,78,0,0,76.2,76.2,1088,3,2,51,2,19,19,2.23,0.93,0.206,62,62,7.28,14,14,1.64,4,0.47
2016,Mark Melancon,- - -,31,75,0,0,71.1,71.1,1023,2,2,47,4,13,13,1.64,0.9,0.202,65,65,8.2,12,12,1.51,3,0.38
2017,Mark Melancon,SFG,32,32,0,0,30,30,502,1,2,11,5,15,15,4.5,1.43,0.301,29,29,8.7,6,6,1.8,3,0.9
2018,Mark Melancon,SFG,33,41,0,0,39,39,654,1,4,3,4,14,14,3.23,1.59,0.302,31,31,7.15,14,14,3.23,2,0.46
2019,Mark Melancon,- - -,34,66,0,0,67.1,67.1,1068,5,2,12,0,27,27,3.61,1.32,0.269,68,68,9.09,18,18,2.41,4,0.53
2020,Mark Melancon,ATL,35,23,0,0,22.2,59.94,323,2,1,11,2,7,18.9,2.78,1.28,0.256,14,37.8,5.56,7,18.9,2.78,1,0.4
2017,Miguel Diaz,SDP,22,31,3,3,41.2,41.2,774,1,1,0,0,34,34,7.34,1.66,0.268,33,33,7.13,25,25,5.4,11,2.38
2018,Miguel Diaz,SDP,23,11,0,0,18.2,18.2,347,1,0,0,0,10,10,4.82,1.5,0.219,30,30,14.46,12,12,5.79,2,0.96
2019,Miguel Diaz,SDP,24,5,0,0,6.1,6.1,102,0,0,0,0,5,5,7.11,1.58,0.346,4,4,5.68,1,1,1.42,1,1.42
2020,Nabil Crismatt,STL,25,6,0,0,8.1,21.87,114,0,0,0,0,3,8.1,3.24,0.84,0.2,8,21.6,8.64,1,2.7,1.08,2,2.16
2017,Pierce Johnson,CHC,26,1,0,0,1,1,29,0,0,0,0,0,0,0,3,0.333,2,2,18,1,1,9,0,0
2018,Pierce Johnson,SFG,27,37,0,0,43.2,43.2,816,3,2,0,0,27,27,5.56,1.37,0.232,36,36,7.42,22,22,4.53,5,1.03
2020,Pierce Johnson,SDP,29,24,0,0,20,54,310,3,1,0,0,6,16.2,2.7,1.2,0.211,27,72.9,12.15,9,24.3,4.05,2,0.9
2018,Tim Hill,KCR,28,70,0,0,45.2,45.2,779,1,4,2,2,23,23,4.53,1.31,0.253,42,42,8.28,14,14,2.76,4,0.79
2019,Tim Hill,KCR,29,46,0,0,39.2,39.2,634,2,0,1,1,16,16,3.63,1.11,0.215,39,39,8.85,13,13,2.95,4,0.91
2020,Tim Hill,SDP,30,23,0,0,18,48.6,348,3,0,0,0,9,24.3,4.5,1.28,0.239,20,54,10,6,16.2,3,3,1.5
