Season,League,League,G,RS,RA,OBP,SLG,BA,OOBP,OSLG,W,Playoffs
2017,OAK,AL,162,739,826,0.319,0.436,0.246,0.327,0.439,75,0
2017,PHI,NL,162,690,782,0.315,0.409,0.25,0.333,0.447,66,0
2017,PIT,NL,162,668,731,0.318,0.386,0.244,0.33,0.431,75,0
2017,SDP,NL,162,604,816,0.299,0.393,0.234,0.333,0.441,71,0
2017,SEA,AL,162,750,772,0.325,0.424,0.259,0.318,0.435,78,0
2017,SFG,NL,162,639,776,0.309,0.38,0.249,0.331,0.438,64,0
2017,STL,NL,162,761,705,0.334,0.426,0.256,0.32,0.411,83,0
2017,TBR,AL,162,694,704,0.317,0.422,0.245,0.309,0.403,80,0
2017,TEX,AL,162,799,816,0.32,0.43,0.244,0.335,0.434,78,0
2017,TOR,AL,162,693,784,0.312,0.412,0.24,0.326,0.429,76,0
2017,WSN,NL,162,819,672,0.332,0.449,0.266,0.308,0.396,97,1
2016,ARI,NL,162,752,890,0.32,0.432,0.261,0.348,0.454,69,0
2016,ATL,NL,162,649,779,0.321,0.384,0.255,0.328,0.416,68,0
2016,BAL,AL,162,744,715,0.317,0.443,0.256,0.328,0.421,89,1
2016,BOS,AL,162,878,694,0.348,0.461,0.282,0.314,0.397,93,1
2016,CHC,NL,162,808,556,0.343,0.429,0.256,0.285,0.348,103,1
2016,CHW,AL,162,686,715,0.317,0.41,0.257,0.326,0.419,78,0
2016,CIN,NL,162,716,854,0.316,0.408,0.256,0.345,0.456,68,0
2016,CLE,AL,162,777,676,0.329,0.43,0.262,0.304,0.407,94,1
2016,COL,NL,162,845,860,0.336,0.457,0.275,0.345,0.446,75,0
2016,DET,AL,162,750,721,0.331,0.438,0.267,0.32,0.421,86,0
2016,HOU,NL,162,724,701,0.319,0.417,0.247,0.314,0.424,84,0
2016,KCR,AL,162,675,712,0.312,0.4,0.261,0.327,0.423,81,0
2016,LAA,AL,162,717,727,0.322,0.405,0.26,0.334,0.44,74,0
2016,LAD,NL,162,725,638,0.319,0.409,0.249,0.298,0.375,91,1
2016,MIA,NL,162,655,682,0.322,0.394,0.263,0.329,0.394,79,0
2016,MIL,NL,162,671,733,0.322,0.407,0.244,0.333,0.426,73,0
2016,MIN,AL,162,722,889,0.316,0.421,0.251,0.34,0.466,59,0
2016,NYM,NL,162,671,617,0.316,0.417,0.246,0.311,0.395,87,1
2016,NYY,AL,162,680,702,0.314,0.405,0.252,0.31,0.424,84,0
2016,OAK,AL,162,653,761,0.304,0.395,0.246,0.322,0.422,69,0
2016,PHI,NL,162,610,796,0.301,0.385,0.24,0.325,0.448,71,0
2016,PIT,NL,162,729,758,0.332,0.402,0.257,0.336,0.436,78,0
2016,SDP,NL,162,686,770,0.299,0.39,0.235,0.33,0.422,68,0
2016,SEA,AL,162,768,707,0.326,0.43,0.259,0.314,0.425,86,0
2016,SFG,NL,162,715,631,0.329,0.398,0.258,0.303,0.392,87,1
2016,STL,NL,162,779,712,0.325,0.443,0.255,0.32,0.402,86,0
2016,TBR,AL,162,672,713,0.307,0.426,0.243,0.318,0.416,68,0
2016,TEX,AL,162,765,757,0.322,0.433,0.262,0.329,0.424,95,1
2016,TOR,AL,162,759,666,0.33,0.426,0.248,0.305,0.398,89,1
2016,WSN,NL,162,763,612,0.326,0.426,0.256,0.3,0.376,95,1
2015,ARI,NL,162,720,713,0.324,0.414,0.264,0.322,0.423,79,0
2015,ATL,NL,162,573,760,0.314,0.359,0.251,0.339,0.426,67,0
2015,BAL,AL,162,713,693,0.307,0.421,0.25,0.321,0.418,81,0
2015,BOS,AL,162,748,753,0.325,0.415,0.265,0.327,0.424,78,0
2015,CHC,NL,162,689,608,0.321,0.398,0.244,0.29,0.372,97,1
2015,CHW,AL,162,622,701,0.306,0.38,0.25,0.322,0.41,76,0
2015,CIN,NL,162,640,754,0.312,0.394,0.248,0.328,0.42,64,0
2015,CLE,AL,162,669,640,0.325,0.401,0.256,0.297,0.386,81,0
2015,COL,NL,162,737,844,0.315,0.432,0.265,0.353,0.461,68,0
2015,DET,AL,162,689,803,0.328,0.42,0.27,0.33,0.444,74,0
