Season,League,League,G,RS,RA,OBP,SLG,BA,OOBP,OSLG,W,Playoffs
2008,MIL,NL,162,750,689,0.325,0.431,0.253,0.323,0.406,90,1
2008,MIN,AL,163,829,745,0.34,0.408,0.279,0.324,0.431,88,0
2008,NYM,NL,162,799,715,0.34,0.42,0.266,0.331,0.397,89,0
2008,NYY,AL,162,789,727,0.342,0.427,0.271,0.329,0.405,89,0
2008,OAK,AL,161,646,690,0.318,0.369,0.242,0.328,0.392,75,0
2008,PHI,NL,162,799,680,0.332,0.438,0.255,0.329,0.41,92,1
2008,PIT,NL,162,735,884,0.32,0.403,0.258,0.362,0.454,67,0
2008,SDP,NL,162,637,764,0.317,0.39,0.25,0.332,0.409,63,0
2008,SEA,AL,162,671,811,0.318,0.389,0.265,0.351,0.433,61,0
2008,SFG,NL,162,640,759,0.321,0.382,0.262,0.341,0.404,72,0
2008,STL,NL,162,779,725,0.35,0.433,0.281,0.332,0.431,86,0
2008,TBR,AL,162,774,671,0.34,0.422,0.26,0.314,0.4,97,1
2008,TEX,AL,162,901,967,0.354,0.462,0.283,0.362,0.455,79,0
2008,TOR,AL,162,714,610,0.331,0.399,0.264,0.309,0.38,86,0
2008,WSN,NL,161,641,825,0.323,0.373,0.251,0.343,0.436,59,0
2007,ARI,NL,162,712,732,0.321,0.413,0.25,0.334,0.42,90,1
2007,ATL,NL,162,810,733,0.339,0.435,0.275,0.327,0.415,84,0
2007,BAL,AL,162,756,868,0.333,0.412,0.272,0.354,0.412,69,0
2007,BOS,AL,162,867,657,0.362,0.444,0.279,0.314,0.392,96,1
2007,CHC,NL,162,752,690,0.333,0.422,0.271,0.322,0.399,85,1
2007,CHW,AL,162,693,839,0.318,0.404,0.246,0.338,0.435,72,0
2007,CIN,NL,162,783,853,0.335,0.436,0.267,0.343,0.456,72,0
2007,CLE,AL,162,811,704,0.343,0.428,0.268,0.322,0.407,96,1
2007,COL,NL,163,860,758,0.354,0.437,0.28,0.33,0.423,90,1
2007,DET,AL,162,887,797,0.345,0.458,0.287,0.338,0.427,88,0
2007,FLA,NL,162,790,891,0.336,0.448,0.267,0.364,0.442,71,0
2007,HOU,NL,162,723,813,0.33,0.412,0.26,0.337,0.454,73,0
2007,KCR,AL,162,706,778,0.322,0.388,0.261,0.339,0.445,69,0
2007,LAA,AL,162,822,731,0.345,0.417,0.284,0.328,0.412,94,1
2007,LAD,NL,162,735,727,0.337,0.406,0.275,0.326,0.399,82,0
2007,MIL,NL,162,801,776,0.329,0.456,0.262,0.333,0.422,83,0
2007,MIN,AL,162,718,725,0.33,0.391,0.264,0.324,0.431,79,0
2007,NYM,NL,162,804,750,0.342,0.432,0.275,0.329,0.409,88,0
2007,NYY,AL,162,968,777,0.366,0.463,0.29,0.34,0.417,94,1
2007,OAK,AL,162,741,758,0.338,0.407,0.256,0.329,0.404,76,0
2007,PHI,NL,162,892,821,0.354,0.458,0.274,0.346,0.451,89,1
2007,PIT,NL,162,724,846,0.325,0.411,0.263,0.352,0.447,68,0
2007,SDP,NL,163,741,666,0.322,0.411,0.251,0.311,0.374,89,0
2007,SEA,AL,162,794,813,0.337,0.425,0.287,0.349,0.431,88,0
2007,SFG,NL,162,683,720,0.322,0.387,0.254,0.334,0.405,71,0
2007,STL,NL,162,725,829,0.337,0.405,0.274,0.336,0.431,78,0
2007,TBD,AL,162,782,944,0.336,0.433,0.268,0.358,0.467,66,0
2007,TEX,AL,162,816,844,0.328,0.426,0.263,0.356,0.423,75,0
2007,TOR,AL,162,753,699,0.327,0.419,0.259,0.315,0.391,83,0
2007,WSN,NL,162,673,783,0.325,0.39,0.256,0.339,0.433,73,0
2006,ARI,NL,162,773,788,0.331,0.424,0.267,0.335,0.431,76,0
2006,ATL,NL,162,849,805,0.337,0.455,0.27,0.343,0.438,79,0
2006,BAL,AL,162,768,899,0.339,0.424,0.277,0.357,0.462,70,0
2006,BOS,AL,162,820,825,0.351,0.435,0.269,0.343,0.447,86,0
2006,CHC,NL,162,716,834,0.319,0.422,0.268,0.342,0.431,66,0
2006,CHW,AL,162,868,794,0.342,0.464,0.28,0.326,0.44,90,0
2006,CIN,NL,162,749,801,0.336,0.432,0.257,0.337,0.457,80,0
2006,CLE,AL,162,870,782,0.349,0.457,0.28,0.335,0.431,78,0
2006,COL,NL,162,813,812,0.341,0.433,0.27,0.346,0.438,76,0
2006,DET,AL,162,822,675,0.329,0.449,0.274,0.321,0.405,95,1
2006,FLA,NL,162,758,772,0.331,0.435,0.264,0.347,0.423,78,0
2006,HOU,NL,162,735,719,0.332,0.409,0.255,0.319,0.421,82,0
2006,KCR,AL,162,757,971,0.332,0.411,0.271,0.367,0.476,62,0
2006,LAA,AL,162,766,732,0.334,0.425,0.274,0.316,0.402,89,0
2006,LAD,NL,162,820,751,0.348,0.432,0.276,0.33,0.418,88,1
2006,MIL,NL,162,730,833,0.327,0.42,0.258,0.333,0.438,75,0
2006,MIN,AL,162,801,683,0.347,0.425,0.287,0.312,0.423,96,1
2006,NYM,NL,162,834,731,0.334,0.445,0.264,0.323,0.407,97,1
2006,NYY,AL,162,930,767,0.363,0.461,0.285,0.326,0.413,97,1
2006,OAK,AL,162,771,727,0.34,0.412,0.26,0.338,0.422,93,1
2006,PHI,NL,162,865,812,0.347,0.447,0.267,0.339,0.46,85,0
2006,PIT,NL,162,691,797,0.327,0.397,0.263,0.357,0.431,67,0
2006,SDP,NL,162,731,679,0.332,0.416,0.263,0.312,0.404,88,1
2006,SEA,AL,162,756,792,0.325,0.424,0.272,0.337,0.432,78,0
2006,SFG,NL,161,746,790,0.324,0.422,0.259,0.337,0.415,76,0
2006,STL,NL,161,781,762,0.337,0.431,0.269,0.337,0.443,83,1
2006,TBD,AL,162,689,856,0.314,0.42,0.255,0.358,0.452,61,0
2006,TEX,AL,162,835,784,0.338,0.446,0.278,0.341,0.424,80,0
2006,TOR,AL,162,809,754,0.348,0.463,0.284,0.328,0.422,87,0
2006,WSN,NL,162,746,872,0.338,0.418,0.262,0.349,0.447,71,0
2005,ARI,NL,162,696,856,0.332,0.421,0.256,0.345,0.455,77,0
2005,ATL,NL,162,769,674,0.333,0.435,0.265,0.333,0.406,90,1
2005,BAL,AL,162,729,800,0.327,0.434,0.269,0.336,0.416,74,0
2005,BOS,AL,162,910,805,0.357,0.454,0.281,0.335,0.441,95,1
2005,CHC,NL,162,703,714,0.324,0.44,0.27,0.325,0.407,79,0
2005,CHW,AL,162,741,645,0.322,0.425,0.262,0.31,0.397,99,1
2005,CIN,NL,163,820,889,0.339,0.446,0.261,0.352,0.483,73,0
2005,CLE,AL,162,790,642,0.334,0.453,0.271,0.302,0.387,93,0
2005,COL,NL,162,740,862,0.333,0.411,0.267,0.362,0.457,67,0
2005,DET,AL,162,723,787,0.321,0.428,0.272,0.33,0.436,71,0
2005,FLA,NL,162,717,732,0.339,0.409,0.272,0.339,0.402,83,0
2005,HOU,NL,163,693,609,0.322,0.408,0.256,0.308,0.389,89,1
2005,KCR,AL,162,701,935,0.32,0.396,0.263,0.362,0.463,56,0
2005,LAA,AL,162,761,643,0.325,0.409,0.27,0.312,0.401,95,1
2005,LAD,NL,162,685,755,0.326,0.395,0.253,0.327,0.429,71,0
2005,MIL,NL,162,726,697,0.331,0.423,0.259,0.324,0.408,81,0
2005,MIN,AL,162,688,662,0.323,0.391,0.259,0.307,0.408,83,0
2005,NYM,NL,162,722,648,0.322,0.416,0.258,0.321,0.387,83,0
2005,NYY,AL,162,886,789,0.355,0.45,0.276,0.332,0.422,95,1
2005,OAK,AL,162,772,658,0.33,0.407,0.262,0.311,0.382,88,0
2005,PHI,NL,162,807,726,0.348,0.423,0.27,0.32,0.426,88,0
2005,PIT,NL,162,680,769,0.322,0.4,0.259,0.344,0.424,67,0
2005,SDP,NL,162,684,726,0.333,0.391,0.257,0.322,0.408,82,1
2005,SEA,AL,162,699,751,0.317,0.391,0.256,0.332,0.422,69,0
2005,SFG,NL,162,649,745,0.319,0.396,0.261,0.336,0.412,75,0
2005,STL,NL,162,805,634,0.339,0.423,0.27,0.318,0.398,100,1
2005,TBD,AL,162,750,936,0.329,0.425,0.274,0.355,0.455,67,0
2005,TEX,AL,162,865,858,0.329,0.468,0.267,0.343,0.428,79,0
2005,TOR,AL,162,775,705,0.331,0.407,0.265,0.324,0.418,80,0
2005,WSN,NL,162,639,673,0.322,0.386,0.252,0.333,0.396,81,0
2004,ANA,AL,162,836,734,0.341,0.429,0.282,0.326,0.415,92,1
2004,ARI,NL,162,615,899,0.31,0.393,0.253,0.35,0.439,51,0
2004,ATL,NL,162,803,668,0.343,0.434,0.27,0.329,0.4,96,1
2004,BAL,AL,162,842,830,0.345,0.432,0.281,0.348,0.404,78,0
2004,BOS,AL,162,949,768,0.36,0.472,0.282,0.318,0.408,98,1
2004,CHC,NL,162,789,665,0.328,0.458,0.268,0.321,0.395,89,0
2004,CHW,AL,162,865,831,0.333,0.457,0.268,0.338,0.453,83,0
2004,CIN,NL,162,750,907,0.331,0.418,0.25,0.348,0.481,76,0
2004,CLE,AL,162,858,857,0.351,0.444,0.276,0.342,0.445,80,0
2004,COL,NL,162,833,923,0.345,0.455,0.275,0.372,0.471,68,0
2004,DET,AL,162,827,844,0.337,0.449,0.272,0.34,0.441,72,0
2004,FLA,NL,162,718,700,0.329,0.406,0.264,0.324,0.412,83,0
2004,HOU,NL,162,803,698,0.342,0.436,0.267,0.328,0.417,92,1
2004,KCR,AL,162,720,905,0.322,0.397,0.259,0.352,0.476,58,0
2004,LAD,NL,162,761,684,0.332,0.423,0.262,0.323,0.408,93,1
2004,MIL,NL,161,634,757,0.321,0.387,0.248,0.32,0.417,67,0
2004,MIN,AL,162,780,715,0.332,0.431,0.266,0.323,0.406,92,1
2004,MON,NL,162,635,769,0.313,0.392,0.249,0.342,0.431,67,0
2004,NYM,NL,162,684,731,0.317,0.409,0.249,0.335,0.405,71,0
2004,NYY,AL,162,897,808,0.353,0.458,0.268,0.328,0.432,101,1
2004,OAK,AL,162,793,742,0.343,0.433,0.27,0.332,0.409,91,0
2004,PHI,NL,162,840,781,0.345,0.443,0.267,0.33,0.448,86,0
2004,PIT,NL,161,680,744,0.321,0.401,0.26,0.342,0.416,72,0
2004,SDP,NL,162,768,705,0.342,0.414,0.273,0.318,0.431,87,0
2004,SEA,AL,162,698,823,0.331,0.396,0.27,0.338,0.441,63,0
2004,SFG,NL,162,850,770,0.357,0.438,0.27,0.332,0.423,91,0
2004,STL,NL,162,855,659,0.344,0.46,0.278,0.313,0.403,105,1
2004,TBD,AL,161,714,842,0.32,0.405,0.258,0.342,0.438,70,0
2004,TEX,AL,162,860,794,0.329,0.457,0.266,0.344,0.432,89,0
2004,TOR,AL,161,719,823,0.328,0.403,0.26,0.348,0.434,67,0
2003,ANA,AL,162,736,743,0.33,0.413,0.268,0.327,0.421,77,0
2003,ARI,NL,162,717,685,0.33,0.417,0.263,0.322,0.388,84,0
2003,ATL,NL,162,907,740,0.349,0.475,0.284,0.327,0.401,101,1
2003,BAL,AL,163,743,820,0.323,0.405,0.268,0.346,0.446,71,0
2003,BOS,AL,162,961,809,0.36,0.491,0.289,0.327,0.415,95,1
2003,CHC,NL,162,724,683,0.323,0.416,0.259,0.324,0.372,88,1
2003,CHW,AL,162,791,715,0.331,0.446,0.263,0.322,0.404,86,0
2003,CIN,NL,162,694,886,0.318,0.395,0.245,0.349,0.463,69,0
2003,CLE,AL,162,699,778,0.316,0.401,0.254,0.329,0.426,68,0
2003,COL,NL,162,853,892,0.344,0.445,0.267,0.359,0.47,74,0
2003,DET,AL,162,591,928,0.3,0.375,0.24,0.352,0.461,43,0
2003,FLA,NL,162,751,692,0.333,0.421,0.266,0.325,0.396,91,1
2003,HOU,NL,162,805,677,0.336,0.431,0.263,0.326,0.397,87,0
2003,KCR,AL,162,836,867,0.336,0.427,0.274,0.348,0.45,83,0
2003,LAD,NL,162,574,556,0.303,0.368,0.243,0.306,0.354,85,0
2003,MIL,NL,162,714,873,0.329,0.419,0.256,0.348,0.462,68,0
2003,MIN,AL,162,801,758,0.341,0.431,0.277,0.319,0.428,90,1
2003,MON,NL,162,711,716,0.326,0.401,0.258,0.327,0.423,83,0
2003,NYM,NL,161,642,754,0.314,0.374,0.247,0.345,0.438,66,0
2003,NYY,AL,163,877,716,0.356,0.453,0.271,0.314,0.407,101,1
2003,OAK,AL,162,768,643,0.327,0.417,0.254,0.314,0.376,96,1
2003,PHI,NL,162,791,697,0.343,0.419,0.261,0.327,0.401,86,0
2003,PIT,NL,162,753,801,0.338,0.42,0.267,0.336,0.431,75,0
2003,SDP,NL,162,678,831,0.333,0.388,0.261,0.341,0.437,64,0
2003,SEA,AL,162,795,637,0.344,0.41,0.271,0.311,0.388,93,0
2003,SFG,NL,161,755,638,0.338,0.425,0.264,0.321,0.386,100,1
2003,STL,NL,162,876,796,0.35,0.454,0.279,0.336,0.452,85,0
2003,TBD,AL,162,715,852,0.32,0.404,0.265,0.347,0.44,63,0
2003,TEX,AL,162,826,969,0.33,0.454,0.266,0.36,0.473,71,0
2003,TOR,AL,162,894,826,0.349,0.455,0.279,0.337,0.441,86,0
2002,ANA,AL,162,851,644,0.341,0.433,0.282,0.314,0.392,99,1
2002,ARI,NL,162,819,674,0.346,0.423,0.267,0.305,0.397,98,1
2002,ATL,NL,161,708,565,0.331,0.409,0.26,0.313,0.364,101,1
2002,BAL,AL,162,667,773,0.309,0.403,0.246,0.336,0.435,67,0
2002,BOS,AL,162,859,665,0.345,0.444,0.277,0.308,0.385,93,0
2002,CHC,NL,162,706,759,0.321,0.413,0.246,0.331,0.407,67,0
2002,CHW,AL,162,856,798,0.338,0.449,0.268,0.33,0.423,81,0
2002,CIN,NL,162,709,774,0.33,0.408,0.253,0.338,0.426,78,0
2002,CLE,AL,162,739,837,0.321,0.412,0.249,0.348,0.423,74,0
2002,COL,NL,162,778,898,0.337,0.423,0.274,0.349,0.466,73,0
2002,DET,AL,161,575,864,0.3,0.379,0.248,0.343,0.455,55,0
2002,FLA,NL,162,699,763,0.337,0.403,0.261,0.341,0.415,79,0
2002,HOU,NL,162,749,695,0.338,0.417,0.262,0.33,0.41,84,0
2002,KCR,AL,162,737,891,0.323,0.398,0.256,0.349,0.464,62,0
2002,LAD,NL,162,713,643,0.32,0.409,0.264,0.315,0.387,92,0
2002,MIL,NL,162,627,821,0.32,0.39,0.253,0.352,0.442,56,0
2002,MIN,AL,161,768,712,0.332,0.437,0.272,0.318,0.421,94,1
2002,MON,NL,162,735,718,0.334,0.418,0.261,0.329,0.421,83,0
2002,NYM,NL,161,690,703,0.322,0.395,0.256,0.327,0.403,75,0
2002,NYY,AL,161,897,697,0.354,0.455,0.275,0.309,0.395,103,1
2002,OAK,AL,162,800,654,0.339,0.432,0.261,0.315,0.384,103,1
2002,PHI,NL,161,710,724,0.339,0.422,0.259,0.328,0.401,80,0
2002,PIT,NL,161,641,730,0.319,0.381,0.244,0.342,0.423,72,0
2002,SDP,NL,162,662,815,0.321,0.381,0.253,0.346,0.442,66,0
2002,SEA,AL,162,814,699,0.35,0.419,0.275,0.315,0.41,93,0
2002,SFG,NL,162,783,616,0.344,0.442,0.267,0.319,0.372,95,1
2002,STL,NL,162,787,648,0.338,0.425,0.268,0.323,0.386,97,1
2002,TBD,AL,161,673,918,0.314,0.39,0.253,0.357,0.463,55,0
2002,TEX,AL,162,843,882,0.338,0.455,0.269,0.355,0.451,72,0
2002,TOR,AL,162,813,828,0.327,0.43,0.261,0.344,0.431,78,0
2001,ANA,AL,162,691,730,0.327,0.405,0.261,0.331,0.412,75,0
2001,ARI,NL,162,818,677,0.341,0.442,0.267,0.311,0.404,92,1
2001,ATL,NL,162,729,643,0.324,0.412,0.26,0.314,0.384,88,1
2001,BAL,AL,162,687,829,0.319,0.38,0.248,0.337,0.439,63,0
2001,BOS,AL,161,772,745,0.334,0.439,0.266,0.329,0.393,82,0
2001,CHC,NL,162,777,701,0.336,0.43,0.261,0.321,0.398,88,0
2001,CHW,AL,162,798,795,0.334,0.451,0.268,0.334,0.427,83,0
2001,CIN,NL,162,735,850,0.324,0.419,0.262,0.341,0.455,66,0
2001,CLE,AL,162,897,821,0.35,0.458,0.278,0.341,0.417,91,1
2001,COL,NL,162,923,906,0.354,0.483,0.292,0.35,0.48,73,0
2001,DET,AL,162,724,876,0.32,0.409,0.26,0.357,0.461,66,0
2001,FLA,NL,162,742,744,0.326,0.423,0.264,0.338,0.411,76,0
2001,HOU,NL,162,847,769,0.347,0.451,0.271,0.325,0.437,93,1
2001,KCR,AL,162,729,858,0.318,0.409,0.266,0.348,0.45,65,0
2001,LAD,NL,162,758,744,0.323,0.425,0.255,0.323,0.411,86,0
2001,MIL,NL,162,740,806,0.319,0.426,0.251,0.35,0.44,68,0
2001,MIN,AL,162,771,766,0.337,0.433,0.272,0.325,0.437,85,0
2001,MON,NL,162,670,812,0.319,0.396,0.253,0.339,0.441,68,0
2001,NYM,NL,162,642,713,0.323,0.387,0.249,0.314,0.419,82,0
2001,NYY,AL,161,804,713,0.334,0.435,0.267,0.318,0.398,95,1
2001,OAK,AL,162,884,645,0.345,0.439,0.264,0.308,0.38,102,1
2001,PHI,NL,162,746,719,0.329,0.414,0.26,0.329,0.424,86,0
2001,PIT,NL,162,657,858,0.313,0.393,0.247,0.344,0.433,62,0
2001,SDP,NL,162,789,812,0.336,0.399,0.252,0.33,0.45,79,0
2001,SEA,AL,162,927,627,0.36,0.445,0.288,0.301,0.378,116,1
2001,SFG,NL,162,799,748,0.342,0.46,0.266,0.329,0.404,90,0
2001,STL,NL,162,814,684,0.339,0.441,0.27,0.328,0.428,93,1
2001,TBD,AL,162,672,887,0.32,0.388,0.258,0.345,0.452,62,0
2001,TEX,AL,162,890,968,0.344,0.471,0.275,0.362,0.494,73,0
2001,TOR,AL,162,767,753,0.325,0.43,0.263,0.339,0.435,80,0
2000,ANA,AL,162,864,869,0.352,0.472,0.28,0.351,0.453,82,0
2000,ARI,NL,162,792,754,0.333,0.429,0.265,0.326,0.424,85,0
2000,ATL,NL,162,810,714,0.346,0.429,0.271,0.319,0.402,95,1
2000,BAL,AL,162,794,913,0.341,0.435,0.272,0.352,0.449,74,0
2000,BOS,AL,162,792,745,0.341,0.423,0.267,0.322,0.411,85,0
2000,CHC,NL,162,764,904,0.335,0.411,0.256,0.348,0.452,65,0
2000,CHW,AL,162,978,839,0.356,0.47,0.286,0.346,0.434,95,1
2000,CIN,NL,163,825,765,0.343,0.447,0.274,0.341,0.438,85,0
2000,CLE,AL,162,950,816,0.367,0.47,0.288,0.35,0.425,90,0
2000,COL,NL,162,968,897,0.362,0.455,0.294,0.354,0.471,82,0
2000,DET,AL,162,823,827,0.343,0.438,0.275,0.34,0.443,79,0
2000,FLA,NL,161,731,797,0.331,0.409,0.262,0.348,0.429,79,0
2000,HOU,NL,162,938,944,0.361,0.477,0.278,0.353,0.476,72,0
2000,KCR,AL,162,879,930,0.348,0.425,0.288,0.362,0.474,77,0
2000,LAD,NL,162,798,729,0.341,0.431,0.257,0.332,0.407,86,0
2000,MIL,NL,163,740,826,0.325,0.403,0.246,0.357,0.42,73,0
2000,MIN,AL,162,748,880,0.337,0.407,0.27,0.347,0.466,69,0
2000,MON,NL,162,738,902,0.326,0.432,0.266,0.353,0.449,67,0
2000,NYM,NL,162,807,738,0.346,0.43,0.263,0.327,0.403,94,1
2000,NYY,AL,161,871,814,0.354,0.45,0.277,0.336,0.422,87,1
2000,OAK,AL,161,947,813,0.36,0.458,0.27,0.348,0.423,91,1
2000,PHI,NL,162,708,830,0.329,0.4,0.251,0.343,0.448,65,0
2000,PIT,NL,162,793,888,0.339,0.424,0.267,0.361,0.432,69,0
2000,SDP,NL,162,752,815,0.33,0.402,0.254,0.34,0.416,76,0
2000,SEA,AL,162,907,780,0.361,0.442,0.269,0.339,0.416,91,1
2000,SFG,NL,162,925,747,0.362,0.472,0.278,0.342,0.412,97,1
2000,STL,NL,162,887,771,0.356,0.455,0.27,0.338,0.434,95,1
2000,TBD,AL,161,733,842,0.329,0.399,0.257,0.345,0.451,69,0
2000,TEX,AL,162,848,974,0.352,0.446,0.283,0.369,0.475,71,0
2000,TOR,AL,162,861,908,0.341,0.469,0.275,0.354,0.456,83,0
1999,ANA,AL,162,711,826,0.322,0.395,0.256,0.346,0.427,70,0
1999,ARI,NL,162,908,676,0.347,0.459,0.277,0.32,0.402,100,1
1999,ATL,NL,162,840,661,0.341,0.436,0.266,0.314,0.377,103,1
1999,BAL,AL,162,851,815,0.353,0.447,0.279,0.35,0.441,78,0
1999,BOS,AL,162,836,718,0.35,0.448,0.278,0.315,0.398,94,1
1999,CHC,NL,162,747,920,0.329,0.42,0.257,0.346,0.467,67,0
1999,CHW,AL,162,777,870,0.337,0.429,0.277,0.353,0.447,75,0
1999,CIN,NL,163,865,711,0.341,0.451,0.272,0.324,0.411,96,0
1999,CLE,AL,162,1009,860,0.373,0.467,0.289,0.347,0.439,97,1
1999,COL,NL,162,906,1028,0.348,0.472,0.288,0.384,0.499,72,0
1999,DET,AL,161,747,882,0.326,0.443,0.261,0.349,0.451,69,0
1999,FLA,NL,162,691,852,0.325,0.395,0.263,0.359,0.44,64,0
1999,HOU,NL,162,823,675,0.355,0.42,0.267,0.326,0.397,97,1
1999,KCR,AL,161,856,921,0.348,0.433,0.282,0.365,0.454,64,0
1999,LAD,NL,162,793,787,0.339,0.42,0.266,0.336,0.422,77,0
1999,MIL,NL,161,815,886,0.353,0.426,0.273,0.356,0.457,74,0
1999,MIN,AL,161,686,845,0.328,0.384,0.264,0.342,0.465,63,0
1999,MON,NL,162,718,853,0.323,0.427,0.265,0.342,0.418,68,0
1999,NYM,NL,163,853,711,0.363,0.434,0.279,0.331,0.418,97,1
1999,NYY,AL,162,900,731,0.366,0.453,0.282,0.329,0.4,98,1
1999,OAK,AL,162,893,846,0.355,0.446,0.259,0.344,0.428,87,0
1999,PHI,NL,162,841,846,0.351,0.431,0.275,0.347,0.447,77,0
1999,PIT,NL,161,775,782,0.334,0.419,0.259,0.343,0.42,78,0
1999,SDP,NL,162,710,781,0.332,0.393,0.252,0.333,0.43,74,0
1999,SEA,AL,162,859,905,0.343,0.455,0.269,0.368,0.454,79,0
1999,SFG,NL,162,872,831,0.356,0.434,0.271,0.345,0.423,86,0
1999,STL,NL,161,809,838,0.338,0.426,0.262,0.355,0.427,75,0
1999,TBD,AL,162,772,913,0.343,0.411,0.274,0.371,0.448,69,0
1999,TEX,AL,162,945,859,0.361,0.479,0.293,0.346,0.459,95,1
1999,TOR,AL,162,883,862,0.352,0.457,0.28,0.353,0.456,84,0
1998,ANA,AL,162,787,783,0.335,0.415,0.272,0.344,0.423,85,0
1998,ARI,NL,162,665,812,0.314,0.393,0.246,0.328,0.428,65,0
1998,ATL,NL,162,826,581,0.342,0.453,0.272,0.303,0.353,106,1
1998,BAL,AL,162,817,785,0.347,0.447,0.273,0.338,0.423,79,0
1998,BOS,AL,162,876,729,0.348,0.463,0.28,0.321,0.402,92,1
1998,CHC,NL,163,831,792,0.337,0.433,0.264,0.336,0.424,90,1
1998,CHW,AL,163,861,931,0.339,0.444,0.271,0.348,0.453,80,0
1998,CIN,NL,162,750,760,0.337,0.402,0.262,0.33,0.417,77,0
1998,CLE,AL,162,850,779,0.347,0.448,0.272,0.344,0.428,89,1
1998,COL,NL,162,826,855,0.347,0.461,0.291,0.355,0.448,77,0
1998,DET,AL,162,722,863,0.323,0.415,0.264,0.348,0.44,65,0
1998,FLA,NL,162,667,923,0.317,0.373,0.248,0.37,0.454,54,0
1998,HOU,NL,162,874,620,0.356,0.436,0.28,0.315,0.394,102,1
1998,KCR,AL,161,714,899,0.324,0.399,0.263,0.35,0.445,72,0
1998,LAD,NL,162,669,678,0.31,0.387,0.252,0.324,0.376,83,0
1998,MIL,NL,162,707,812,0.33,0.396,0.26,0.344,0.444,74,0
1998,MIN,AL,162,734,818,0.328,0.389,0.266,0.338,0.448,70,0
1998,MON,NL,162,644,783,0.31,0.394,0.249,0.333,0.408,65,0
1998,NYM,NL,162,706,645,0.33,0.394,0.259,0.325,0.401,88,0
1998,NYY,AL,162,965,656,0.364,0.46,0.288,0.312,0.387,114,1
1998,OAK,AL,162,804,866,0.338,0.397,0.257,0.342,0.441,74,0
1998,PHI,NL,162,713,808,0.326,0.395,0.264,0.331,0.432,75,0
1998,PIT,NL,163,650,718,0.311,0.374,0.254,0.324,0.4,69,0
1998,SDP,NL,162,749,635,0.33,0.409,0.253,0.318,0.381,98,1
1998,SEA,AL,161,859,855,0.345,0.468,0.276,0.33,0.412,76,0
1998,SFG,NL,163,845,739,0.353,0.421,0.274,0.34,0.451,89,0
1998,STL,NL,163,810,782,0.341,0.441,0.258,0.338,0.407,83,0
1998,TBD,AL,162,620,751,0.321,0.385,0.261,0.345,0.412,63,0
1998,TEX,AL,162,940,871,0.357,0.462,0.289,0.346,0.446,88,1
1998,TOR,AL,163,816,768,0.34,0.448,0.266,0.329,0.417,88,0
1997,ANA,AL,162,829,794,0.346,0.416,0.272,0.343,0.437,84,0
1997,ATL,NL,162,791,581,0.343,0.426,0.27,0.301,0.354,101,1
1997,BAL,AL,162,812,681,0.341,0.429,0.268,0.323,0.401,98,1
1997,BOS,AL,162,851,857,0.352,0.463,0.291,0.351,0.424,78,0
1997,CHC,NL,162,687,759,0.321,0.396,0.263,0.339,0.435,68,0
1997,CHW,AL,161,779,833,0.341,0.417,0.273,0.34,0.43,80,0
1997,CIN,NL,162,651,764,0.321,0.389,0.253,0.33,0.417,76,0
1997,CLE,AL,161,868,815,0.358,0.467,0.286,0.347,0.434,86,1
1997,COL,NL,162,923,908,0.357,0.478,0.288,0.367,0.479,83,0
1997,DET,AL,162,784,790,0.332,0.415,0.258,0.334,0.424,79,0
1997,FLA,NL,162,740,669,0.346,0.395,0.259,0.334,0.384,92,1
1997,HOU,NL,162,777,660,0.344,0.403,0.259,0.319,0.38,84,1
1997,KCR,AL,161,747,820,0.333,0.407,0.264,0.34,0.43,67,0
1997,LAD,NL,162,742,645,0.33,0.418,0.268,0.313,0.389,88,0
1997,MIL,AL,161,681,742,0.325,0.398,0.26,0.333,0.418,78,0
1997,MIN,AL,162,772,861,0.333,0.409,0.27,0.342,0.454,68,0
1997,MON,NL,162,691,740,0.316,0.425,0.258,0.325,0.393,78,0
1997,NYM,NL,162,777,709,0.332,0.405,0.262,0.326,0.411,88,0
1997,NYY,AL,162,891,688,0.362,0.436,0.287,0.327,0.394,96,1
1997,OAK,AL,162,764,946,0.339,0.423,0.26,0.372,0.476,65,0
1997,PHI,NL,162,668,840,0.322,0.385,0.255,0.342,0.437,68,0
1997,PIT,NL,162,725,760,0.329,0.404,0.262,0.343,0.415,79,0
1997,SDP,NL,162,795,891,0.342,0.407,0.271,0.352,0.435,76,0
1997,SEA,AL,162,925,833,0.355,0.485,0.28,0.342,0.433,90,1
1997,SFG,NL,162,784,793,0.337,0.414,0.258,0.34,0.412,90,1
1997,STL,NL,162,689,708,0.324,0.396,0.255,0.329,0.38,73,0
1997,TEX,AL,162,807,823,0.334,0.438,0.274,0.347,0.439,77,0
1997,TOR,AL,162,654,694,0.31,0.389,0.244,0.326,0.413,76,0
1996,ATL,NL,162,773,648,0.333,0.432,0.27,0.304,0.37,96,1
1996,BAL,AL,163,949,903,0.35,0.472,0.274,0.349,0.449,88,1
1996,BOS,AL,162,928,921,0.359,0.457,0.283,0.36,0.436,85,0
1996,CAL,AL,161,762,943,0.339,0.431,0.276,0.357,0.449,70,0
1996,CHC,NL,162,772,771,0.32,0.401,0.251,0.33,0.423,76,0
1996,CHW,AL,162,898,794,0.36,0.447,0.281,0.343,0.424,85,0
